scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Colibri cyanotus,2023-08-25 13:42:00 -0600,,"Puntarenas, Monteverde, Costa Rica",10.3021551335,-84.7962497418,,Lesser Violetear,https://www.inaturalist.org/observations/180193900,https://inaturalist-open-data.s3.amazonaws.com/photos/313835521/medium.jpeg,mazancourt,180193900,Colibri cyanote,Aves,508367,1,0,2023/08/25 13:42,2023-08-25,2023-08-25 19:42:00 UTC,America/Costa_Rica,NA,NA,,,false,,,782891,Valentin de Mazancourt,2023-08-25 23:29:37 UTC,2023-08-26 00:06:51 UTC,research,CC-BY-NC,,NA,false
Colibri cyanotus,2023-08-25 13:39:00 -0600,,"Puntarenas, Monteverde, Costa Rica",10.3021551335,-84.7962497418,,Lesser Violetear,https://www.inaturalist.org/observations/180193898,https://inaturalist-open-data.s3.amazonaws.com/photos/313835263/medium.jpeg,mazancourt,180193898,Colibri cyanote,Aves,508367,1,0,2023/08/25 13:39,2023-08-25,2023-08-25 19:39:00 UTC,America/Costa_Rica,NA,NA,,,false,,,782891,Valentin de Mazancourt,2023-08-25 23:29:36 UTC,2023-08-26 00:07:00 UTC,research,CC-BY-NC,,NA,false
Colibri coruscans,2023-08-23 07:27:00 -0500,,"La Calera, Cundinamarca, Colombia",4.72014912,-73.90639286,,Sparkling Violetear,https://www.inaturalist.org/observations/180180255,https://inaturalist-open-data.s3.amazonaws.com/photos/313812468/medium.jpeg,agujaceratops,180180255,Sparkling Violetear,Aves,6072,1,0,2023/08/23 7:27 AM,2023-08-23,2023-08-23 12:27:00 UTC,Bogota,NA,NA,,open,false,,,1992254,Jens N. Lallensack,2023-08-25 21:34:19 UTC,2023-08-25 23:20:02 UTC,research,CC0,,NA,false
Colibri cyanotus,2023-01-24 14:49:00 -0600,,"San José Province, Copey District, Costa Rica",9.5761407678,-83.8004190864,,Lesser Violetear,https://www.inaturalist.org/observations/180154506,https://inaturalist-open-data.s3.amazonaws.com/photos/313758016/medium.jpg,ericcameron,180154506,Lesser Violetear,Aves,508367,1,0,2023/01/24 2:49 PM,2023-01-24,2023-01-24 20:49:00 UTC,America/Costa_Rica,62,62,,,false,,,5349844,Eric Cameron,2023-08-25 18:36:20 UTC,2023-08-25 20:58:59 UTC,research,CC-BY-NC,,NA,false
Colibri serrirostris,2022-12-02 13:35:00 -0300,mejillas magenta y triangulo blanco en la base de la cola ,"El Carmen, Jujuy, Argentina",-24.4263100026,-65.2935255142,,White-vented Violetear,https://www.inaturalist.org/observations/180152129,https://inaturalist-open-data.s3.amazonaws.com/photos/313757741/medium.jpg,quentinvdm,180152129,Colibrí mediano,Aves,6083,1,0,2022/12/02 1:35 PM,2022-12-02,2022-12-02 16:35:00 UTC,America/Argentina/Jujuy,122,122,,open,false,,,2452293,Quentin Vandemoortele,2023-08-25 18:20:47 UTC,2023-08-28 00:01:14 UTC,research,CC-BY-NC,,NA,false
Colibri coruscans,2023-07-30 08:22:00 -0500,,"Latacunga, Ecuador",-0.7536013644,-78.6653280449,,Sparkling Violetear,https://www.inaturalist.org/observations/180065957,https://inaturalist-open-data.s3.amazonaws.com/photos/313592293/medium.jpg,marceloamores,180065957,Colibrí Orejivioleta Ventriazul,Aves,6072,1,0,2023/07/30 8:22 AM,2023-07-30,2023-07-30 13:22:00 UTC,America/Guayaquil,4,4,,open,false,,,1116633,Marcelo Amores,2023-08-25 02:45:43 UTC,2023-08-25 03:28:30 UTC,research,CC-BY-NC,,NA,false
Colibri thalassinus,2023-08-23 17:15:00 -0600,,"Laguna Bermeja, Guatemala City, Guatemala",14.5668756022,-90.4367512855,,Mexican Violetear,https://www.inaturalist.org/observations/180048952,https://inaturalist-open-data.s3.amazonaws.com/photos/313559822/medium.jpg,gpasch,180048952,Mexican Violetear,Aves,508366,2,0,2023/08/23 5:15 PM,2023-08-23,2023-08-23 23:15:00 UTC,Central America,4,4,,open,false,,,773724,Grete Pasch,2023-08-24 23:52:11 UTC,2023-08-30 13:01:25 UTC,research,CC-BY-NC,,NA,false
Colibri serrirostris,2023-08-17 00:00:00 -0300,,"Parque Nacional da Serra da Canastra, São Roque de Minas - MG, 37928-000, Brasil",-20.2127410215,-46.4797627807,,White-vented Violetear,https://www.inaturalist.org/observations/179992260,https://inaturalist-open-data.s3.amazonaws.com/photos/313450716/medium.jpg,luciano_bernardes,179992260,Beija-flor-de-orelha-violeta,Aves,6083,1,0,2023/08/17 ,2023-08-17,,Brasilia,7940,7940,,open,false,,,4140797,Luciano Bernardes,2023-08-24 16:45:25 UTC,2023-08-24 22:15:58 UTC,research,CC-BY-NC,,NA,false
Colibri serrirostris,2023-08-16 00:00:00 -0300,,"Parque Nacional da Serra da Canastra, São Roque de Minas - MG, 37928-000, Brasil",-20.2127410215,-46.4797627807,,White-vented Violetear,https://www.inaturalist.org/observations/179991117,https://inaturalist-open-data.s3.amazonaws.com/photos/313448073/medium.jpg,luciano_bernardes,179991117,Beija-flor-de-orelha-violeta,Aves,6083,1,0,2023/08/16 ,2023-08-16,,Brasilia,7940,7940,,open,false,,,4140797,Luciano Bernardes,2023-08-24 16:37:28 UTC,2023-08-25 14:35:15 UTC,research,CC-BY-NC,,NA,false
Colibri serrirostris,2023-08-06 00:00:00 -0300,,"R. Joaquim de Oliveira, s/n - Monte Alegre do Sul, SP, 13910-000",-22.672211,-46.6733421,,White-vented Violetear,https://www.inaturalist.org/observations/179986702,https://inaturalist-open-data.s3.amazonaws.com/photos/313441441/medium.jpg,luciano_bernardes,179986702,Beija-flor-de-orelha-violeta,Aves,6083,2,0,2023/08/06 ,2023-08-06,,Brasilia,201,201,,open,false,,,4140797,Luciano Bernardes,2023-08-24 16:06:01 UTC,2023-08-29 11:08:36 UTC,research,CC-BY-NC,,NA,false
Colibri serrirostris,2023-08-06 00:00:00 -0300,,"R. Joaquim de Oliveira, s/n - Monte Alegre do Sul, SP, 13910-000",-22.672211,-46.6733421,,White-vented Violetear,https://www.inaturalist.org/observations/179986700,https://inaturalist-open-data.s3.amazonaws.com/photos/313441431/medium.jpg,luciano_bernardes,179986700,Beija-flor-de-orelha-violeta,Aves,6083,2,0,2023/08/06 ,2023-08-06,,Brasilia,201,201,,open,false,,,4140797,Luciano Bernardes,2023-08-24 16:06:00 UTC,2023-08-29 11:08:33 UTC,research,CC-BY-NC,,NA,false
Colibri serrirostris,2023-08-06 00:00:00 -0300,,"R. Joaquim de Oliveira, s/n - Monte Alegre do Sul, SP, 13910-000",-22.672211,-46.6733421,,White-vented Violetear,https://www.inaturalist.org/observations/179986696,https://inaturalist-open-data.s3.amazonaws.com/photos/313441426/medium.jpg,luciano_bernardes,179986696,Beija-flor-de-orelha-violeta,Aves,6083,2,0,2023/08/06 ,2023-08-06,,Brasilia,201,201,,open,false,,,4140797,Luciano Bernardes,2023-08-24 16:06:00 UTC,2023-08-29 11:08:30 UTC,research,CC-BY-NC,,NA,false
Colibri serrirostris,2023-08-06 00:00:00 -0300,,"R. Joaquim de Oliveira, s/n - Monte Alegre do Sul, SP, 13910-000",-22.672211,-46.6733421,,White-vented Violetear,https://www.inaturalist.org/observations/179986683,https://inaturalist-open-data.s3.amazonaws.com/photos/313441367/medium.jpg,luciano_bernardes,179986683,Beija-flor-de-orelha-violeta,Aves,6083,2,0,2023/08/06 ,2023-08-06,,Brasilia,201,201,,open,false,,,4140797,Luciano Bernardes,2023-08-24 16:05:56 UTC,2023-08-29 11:08:08 UTC,research,CC-BY-NC,,NA,false
Colibri coruscans,2022-11-19 08:52:00 -0500,,"Secas, Ecuador",-0.4595625,-78.3230625,,Sparkling Violetear,https://www.inaturalist.org/observations/179896446,https://inaturalist-open-data.s3.amazonaws.com/photos/313270763/medium.jpeg,lindakennedy,179896446,Sparkling Violetear,Aves,6072,2,0,2022/11/19 8:52 AM,2022-11-19,2022-11-19 13:52:00 UTC,America/Guayaquil,214,214,,open,false,,,6445962,Linda Kennedy,2023-08-23 23:12:38 UTC,2023-08-26 20:08:25 UTC,research,CC-BY-NC,,NA,false
Colibri delphinae,2023-07-28 00:00:00 -0500,See http://www.planetscott.com/speciesdetail/1844/brown-violetear-(colibri-delphinae) for more info,Mindo - San Carlos,-0.051007,-78.771974,,Brown Violetear,https://www.inaturalist.org/observations/179781130,https://inaturalist-open-data.s3.amazonaws.com/photos/313054017/medium.jpg,hdemann,179781130,Brown Violetear,Aves,6076,1,0,7/28/2023,2023-07-28,,America/Guayaquil,NA,NA,,open,false,,,221631,Scott Bowers,2023-08-23 03:54:35 UTC,2023-08-23 04:18:31 UTC,research,CC-BY-NC,,215,false
Colibri serrirostris,2023-08-22 17:48:09 -0300,,"Ceilândia, Brasília - DF, Brasil",-15.7712398487,-48.1311132386,,White-vented Violetear,https://www.inaturalist.org/observations/179745997,https://inaturalist-open-data.s3.amazonaws.com/photos/312980825/medium.jpeg,jeanmartins,179745997,Beija-flor-de-orelha-violeta,Aves,6083,1,0,2023-08-22 17:48:09,2023-08-22,2023-08-22 20:48:09 UTC,Brasilia,NA,NA,,open,false,gps,gps,2344514,Jean Martins,2023-08-22 22:16:24 UTC,2023-08-23 01:36:12 UTC,research,CC-BY-NC,,2,false
Colibri thalassinus,2023-08-22 10:26:06 -0600,,"Kaltic, 29299 San Cristóbal de las Casas, Chis., México",16.7087120413,-92.6186842471,,Mexican Violetear,https://www.inaturalist.org/observations/179742566,https://inaturalist-open-data.s3.amazonaws.com/photos/312974044/medium.jpeg,ana_laura_ta_tu,179742566,Mexican Violetear,Aves,508366,1,0,2023-08-22 10:26:06,2023-08-22,2023-08-22 16:26:06 UTC,Mexico City,26,26,,open,false,gps,gps,2429292,Ana Laura Gómez López,2023-08-22 21:46:45 UTC,2023-08-31 05:24:03 UTC,research,CC-BY-NC-ND,,2,false
Colibri delphinae,2023-07-11 11:17:00 -0500,,"Quijos, Ecuador",-0.469691,-77.865528,,Brown Violetear,https://www.inaturalist.org/observations/179567894,https://inaturalist-open-data.s3.amazonaws.com/photos/312640907/medium.jpeg,cheelan2021,179567894,Brown Violetear,Aves,6076,1,0,2023/07/11 11:17 AM,2023-07-11,2023-07-11 16:17:00 UTC,America/Guayaquil,10,10,,open,false,,,5911426,,2023-08-21 19:10:02 UTC,2023-08-21 19:24:33 UTC,research,CC-BY-NC,,NA,false
Colibri coruscans,2023-07-11 11:15:00 -0500,,"Quijos, Ecuador",-0.469691,-77.865528,,Sparkling Violetear,https://www.inaturalist.org/observations/179567889,https://inaturalist-open-data.s3.amazonaws.com/photos/312640842/medium.jpeg,cheelan2021,179567889,Sparkling Violetear,Aves,6072,1,0,2023/07/11 11:15 AM,2023-07-11,2023-07-11 16:15:00 UTC,America/Guayaquil,10,10,,open,false,,,5911426,,2023-08-21 19:10:01 UTC,2023-08-24 03:40:32 UTC,research,CC-BY-NC,,NA,false
Colibri coruscans,2023-08-20 12:31:00 -0500,,"Urbanizacion Los Algarrobos de la Viña, Quito 170184, Ecuador",-0.1976934,-78.404274,,Sparkling Violetear,https://www.inaturalist.org/observations/179431705,https://inaturalist-open-data.s3.amazonaws.com/photos/312378245/medium.jpg,dawicho,179431705,Sparkling Violetear,Aves,6072,1,0,2023/08/20 12:31 PM,2023-08-20,2023-08-20 17:31:00 UTC,America/Guayaquil,NA,NA,,open,false,,,1428321,David Torres,2023-08-20 22:30:51 UTC,2023-08-20 22:43:16 UTC,research,CC-BY-NC,,NA,false
Colibri coruscans,2023-08-20 13:00:00 -0500,,"RGFQ+FJC, Quito, Ecuador",-0.1763001,-78.4609854,,Sparkling Violetear,https://www.inaturalist.org/observations/179428902,https://static.inaturalist.org/photos/312461764/medium.jpeg,dsugoniaev,179428902,Sparkling Violetear,Aves,6072,1,0,2023/08/20 1:00 PM,2023-08-20,2023-08-20 18:00:00 UTC,America/Guayaquil,1488,1488,,open,false,,,5610692,Diego Galárraga Sugoniaev,2023-08-20 22:11:55 UTC,2023-09-04 03:57:51 UTC,research,,,NA,false
Colibri delphinae,2023-07-29 08:26:45 -0600,,"Vía 126, Alajuela, CR",10.2221783333,-84.1671966667,,Brown Violetear,https://www.inaturalist.org/observations/179423758,https://inaturalist-open-data.s3.amazonaws.com/photos/312365196/medium.jpg,katrinapeebles,179423758,Brown Violetear,Aves,6076,1,0,2023-07-29 09:26:45-05:00,2023-07-29,2023-07-29 14:26:45 UTC,America/Costa_Rica,NA,NA,,open,false,,,1443923,,2023-08-20 21:40:21 UTC,2023-08-20 22:08:08 UTC,research,CC-BY-NC,,3,false
Colibri thalassinus,2023-08-20 09:36:31 -0600,,"91433 Ver., México",19.6600503211,-96.7506124824,,Mexican Violetear,https://www.inaturalist.org/observations/179400032,https://inaturalist-open-data.s3.amazonaws.com/photos/312319765/medium.jpeg,iktwo,179400032,Colibrí orejas violetas,Aves,508366,1,0,2023-08-20 09:36:31,2023-08-20,2023-08-20 15:36:31 UTC,Mexico City,223,223,,open,false,gps,gps,2511692,Isaac SH,2023-08-20 19:28:43 UTC,2023-08-21 19:50:59 UTC,research,CC-BY-NC,,2,false
Colibri coruscans,2023-08-16 20:02:00 -0500,,"Fusagasugá, Cundinamarca, Colombia",4.3604416667,-74.335475,,Sparkling Violetear,https://www.inaturalist.org/observations/179360747,https://static.inaturalist.org/photos/312243085/medium.jpeg,jorgelarotta,179360747,Sparkling Violetear,Aves,6072,1,0,2023/08/16 8:02 PM,2023-08-16,2023-08-17 01:02:00 UTC,Bogota,NA,NA,,open,false,,,26336,Jorge La Rotta,2023-08-20 15:51:58 UTC,2023-08-20 21:49:42 UTC,research,,,NA,false
Colibri delphinae,2023-08-17 10:09:00 -0500,,"Fusagasugá, Cundinamarca, Colombia",4.3605033333,-74.3353683333,,Brown Violetear,https://www.inaturalist.org/observations/179360057,https://static.inaturalist.org/photos/312241833/medium.jpeg,jorgelarotta,179360057,Brown Violetear,Aves,6076,1,0,2023/08/17 10:09 AM,2023-08-17,2023-08-17 15:09:00 UTC,Bogota,NA,NA,,open,false,,,26336,Jorge La Rotta,2023-08-20 15:48:11 UTC,2023-08-20 21:36:08 UTC,research,,,NA,false
Colibri serrirostris,2023-08-18 08:42:00 -0300,,"Vargem Bonita, MG, 37922-000, Brasil",-20.3284567,-46.3675817,,White-vented Violetear,https://www.inaturalist.org/observations/179269050,https://inaturalist-open-data.s3.amazonaws.com/photos/312077617/medium.jpeg,reinaldogibin,179269050,Beija-flor-de-orelha-violeta,Aves,6083,1,0,2023/08/18 8:42 AM,2023-08-18,2023-08-18 11:42:00 UTC,Brasilia,2034,2034,,open,false,,,6457643,,2023-08-20 02:21:16 UTC,2023-08-20 03:08:57 UTC,research,CC-BY-NC,,NA,false
Colibri cyanotus,2023-07-23 13:43:00 -0500,,"Vía Soacha, Km. 8, Soacha, Mosquera, Cundinamarca, Colombia",4.6063438,-74.3047537,,Lesser Violetear,https://www.inaturalist.org/observations/179266525,https://static.inaturalist.org/photos/312069737/medium.jpeg,tomdriscoll,179266525,Lesser Violetear,Aves,508367,1,0,2023/07/23 1:43 PM,2023-07-23,2023-07-23 18:43:00 UTC,Bogota,211,211,,,false,,,306180,Thomas A. Driscoll,2023-08-20 01:58:31 UTC,2023-08-20 22:17:19 UTC,research,,,NA,false
Colibri delphinae,2023-08-06 14:08:00 -0500,,"Santa Marta, Magdalena, Colombia",11.0980216935,-74.0790605297,Santa Marta,Brown Violetear,https://www.inaturalist.org/observations/179259920,https://inaturalist-open-data.s3.amazonaws.com/photos/312057978/medium.jpeg,gaell,179259920,Brown Violetear,Aves,6076,1,0,2023/08/06 2:08 PM,2023-08-06,2023-08-06 19:08:00 UTC,Bogota,31,31,,open,false,,,11590,Gaell Mainguy,2023-08-20 01:02:10 UTC,2023-08-20 21:55:25 UTC,research,CC-BY-NC-ND,,NA,false
Colibri serrirostris,2023-07-28 09:11:00 -0400,,"Chapada dos Guimarães - State of Mato Grosso, Brazil",-15.3660587646,-55.7790089778,,White-vented Violetear,https://www.inaturalist.org/observations/179259205,https://inaturalist-open-data.s3.amazonaws.com/photos/312057268/medium.jpeg,nicoolejnik,179259205,Colibrí mediano,Aves,6083,1,0,2023/07/28 9:11 AM,2023-07-28,2023-07-28 13:11:00 UTC,America/Cuiaba,125,125,,open,false,,,50445,Nicolas Olejnik,2023-08-20 00:57:05 UTC,2023-08-20 03:11:28 UTC,research,CC-BY-NC,,NA,false
Colibri serrirostris,2023-08-17 10:36:00 -0300,,"São Roque de Minas, MG, 37928-000, Brasil",-20.2453276,-46.3667201,,White-vented Violetear,https://www.inaturalist.org/observations/179254792,https://inaturalist-open-data.s3.amazonaws.com/photos/312049792/medium.jpeg,reinaldogibin,179254792,Beija-flor-de-orelha-violeta,Aves,6083,1,0,2023/08/17 10:36 AM,2023-08-17,2023-08-17 13:36:00 UTC,Brasilia,1171,1171,,open,false,,,6457643,,2023-08-20 00:25:22 UTC,2023-08-20 00:30:53 UTC,research,CC-BY-NC,,NA,false
Colibri coruscans,2017-01-30 10:09:00 -0500,,"San Francisco, Cundinamarca, Colombia",4.9778208997,-74.2938185873,,Sparkling Violetear,https://www.inaturalist.org/observations/179244363,https://inaturalist-open-data.s3.amazonaws.com/photos/312028677/medium.jpg,djringer,179244363,Sparkling Violetear,Aves,6072,1,0,2017/01/30 10:09 AM,2017-01-30,2017-01-30 15:09:00 UTC,Bogota,100,100,,open,false,,,792319,David Jeffrey Ringer,2023-08-19 23:10:56 UTC,2023-08-30 01:59:25 UTC,research,CC-BY-NC,,NA,false
Colibri thalassinus,2023-08-07 17:09:00 -0600,,"San Pedro Cholula, Pue., México",19.0813592911,-98.3484153054,,Mexican Violetear,https://www.inaturalist.org/observations/179068276,https://inaturalist-open-data.s3.amazonaws.com/photos/311700166/medium.jpeg,eveliodominguez,179068276,Colibrí orejas violetas,Aves,508366,1,0,2023/08/07 5:09 PM,2023-08-07,2023-08-07 23:09:00 UTC,Mexico City,4,4,,open,false,,,2878756,Evelio Dominguez Chavez,2023-08-18 23:54:13 UTC,2023-08-21 05:50:46 UTC,research,CC-BY-NC,,NA,false
Colibri coruscans,2023-08-18 12:49:16 -0500,,"Urubamba, PE-CS, PE",-13.2569157,-72.1739534,,Sparkling Violetear,https://www.inaturalist.org/observations/179044975,https://inaturalist-open-data.s3.amazonaws.com/photos/316196927/medium.jpeg,kate_calif,179044975,Sparkling Violetear,Aves,6072,1,0,2023-08-18 12:49:16,2023-08-18,2023-08-18 17:49:16 UTC,Quito,NA,NA,,open,false,gps,gps,14634,Kate Bauer,2023-08-18 20:45:47 UTC,2023-09-02 21:14:36 UTC,research,CC-BY-NC,,2,false
Colibri thalassinus,2023-08-18 09:15:22 -0600,,San Pedro Tidaá,17.3404384067,-97.3788485304,,Mexican Violetear,https://www.inaturalist.org/observations/179042591,https://inaturalist-open-data.s3.amazonaws.com/photos/311653690/medium.jpeg,sopasbar,179042591,Colibrí orejas violetas,Aves,508366,1,0,2023-08-18 09:15:22,2023-08-18,2023-08-18 15:15:22 UTC,Mexico City,2952,2952,,open,false,gps,gps,4239637,Juan Manuel Carmona,2023-08-18 20:28:19 UTC,2023-08-18 21:48:59 UTC,research,CC-BY-NC,,2,false
Colibri delphinae,2023-07-11 17:51:00 -0500,,"Santa Marta, Magdalena, Colombia",11.1014210659,-74.0718996434,,Brown Violetear,https://www.inaturalist.org/observations/179039691,https://static.inaturalist.org/photos/311643074/medium.jpeg,tomdriscoll,179039691,Brown Violetear,Aves,6076,1,0,2023/07/11 5:51 PM,2023-07-11,2023-07-11 22:51:00 UTC,Bogota,31,31,,open,false,,,306180,Thomas A. Driscoll,2023-08-18 20:08:38 UTC,2023-08-18 21:57:19 UTC,research,,,NA,false
Colibri cyanotus,2022-08-04 21:07:00 -0600,,"Puntarenas, Puntarenas, Costa Rica",10.3022033333,-84.79624,,Lesser Violetear,https://www.inaturalist.org/observations/178993889,https://static.inaturalist.org/photos/311544237/medium.jpeg,stefaniadalpra,178993889,Colibri cyanotus,Aves,508367,1,0,2022/08/04 21:07,2022-08-04,2022-08-05 03:07:00 UTC,America/Costa_Rica,NA,NA,,,false,,,218112,Stefania Dal Pra,2023-08-18 14:47:30 UTC,2023-08-18 20:04:16 UTC,research,,,NA,false
Colibri cyanotus,2022-08-04 20:57:00 -0600,,"Puntarenas, Puntarenas, Costa Rica",10.3021933333,-84.7962116667,,Lesser Violetear,https://www.inaturalist.org/observations/178993881,https://static.inaturalist.org/photos/311545466/medium.jpeg,stefaniadalpra,178993881,Colibri cyanotus,Aves,508367,1,0,2022/08/04 20:57,2022-08-04,2022-08-05 02:57:00 UTC,America/Costa_Rica,NA,NA,,,false,,,218112,Stefania Dal Pra,2023-08-18 14:47:29 UTC,2023-08-18 16:58:56 UTC,research,,,NA,false
Colibri cyanotus,2022-08-04 20:53:00 -0600,,"Provincia de Puntarenas, Puntarenas, Costa Rica",10.2765923208,-84.7695148747,,Lesser Violetear,https://www.inaturalist.org/observations/178993876,https://static.inaturalist.org/photos/311542886/medium.jpeg,stefaniadalpra,178993876,Colibri cyanotus,Aves,508367,1,0,2022/08/04 20:53,2022-08-04,2022-08-05 02:53:00 UTC,America/Costa_Rica,3906,3906,,,false,,,218112,Stefania Dal Pra,2023-08-18 14:47:28 UTC,2023-08-18 16:59:10 UTC,research,,,NA,false
Colibri coruscans,2023-08-15 17:37:00 -0500,,"Urbanizacion Los Algarrobos de la Viña, Quito 170184, Ecuador",-0.1971531465,-78.4043955848,,Sparkling Violetear,https://www.inaturalist.org/observations/178775530,https://inaturalist-open-data.s3.amazonaws.com/photos/311140881/medium.jpg,dawicho,178775530,Sparkling Violetear,Aves,6072,1,0,2023/08/15 5:37 PM,2023-08-15,2023-08-15 22:37:00 UTC,America/Guayaquil,4,4,,open,false,,,1428321,David Torres,2023-08-17 01:13:22 UTC,2023-08-17 04:11:43 UTC,research,CC-BY-NC,,NA,false
Colibri coruscans,2023-08-16 11:05:50 -0500,,Quito Botanical Gardens,-0.1882189852,-78.4849042073,,Sparkling Violetear,https://www.inaturalist.org/observations/178765940,https://static.inaturalist.org/photos/311124523/medium.jpeg,a1dan_see,178765940,Sparkling Violetear,Aves,6072,1,0,2023-08-16 11:05:50,2023-08-16,2023-08-16 16:05:50 UTC,America/Guayaquil,263,263,,open,false,gps,gps,5923218,Aidan Craner,2023-08-16 23:53:48 UTC,2023-08-17 04:12:48 UTC,research,,,2,false
Colibri coruscans,2023-08-06 09:33:00 -0500,,"Av. C/ 63 #68-95, Bogotá, Colombia",4.6680596,-74.0999015,,Sparkling Violetear,https://www.inaturalist.org/observations/178762598,https://inaturalist-open-data.s3.amazonaws.com/photos/311117844/medium.jpg,consueloaltramuz2020,178762598,Colibrí Rutilante,Aves,6072,1,0,2023/08/06 9:33 AM,2023-08-06,2023-08-06 14:33:00 UTC,Bogota,452,452,,open,false,,,3818827,Consuelo Sánchez,2023-08-16 23:25:15 UTC,2023-08-19 15:18:36 UTC,research,CC-BY-NC,,NA,false
Colibri coruscans,2023-08-06 09:59:00 -0500,Coruscans en árbol Sangregado,"Engativá, Bogotá, Colombia",4.6679394282,-74.0997734556,,Sparkling Violetear,https://www.inaturalist.org/observations/178761217,https://inaturalist-open-data.s3.amazonaws.com/photos/311115255/medium.jpg,consueloaltramuz2020,178761217,Colibrí Rutilante,Aves,6072,1,0,2023/08/06 9:59 AM,2023-08-06,2023-08-06 14:59:00 UTC,Bogota,31,31,,open,false,,,3818827,Consuelo Sánchez,2023-08-16 23:14:14 UTC,2023-08-16 23:15:59 UTC,research,CC-BY-NC,,NA,false
Colibri cyanotus,2023-08-15 11:13:41 -0600,,"Puntarenas Province, Monteverde, Costa Rica",10.3047509722,-84.8036929722,,Lesser Violetear,https://www.inaturalist.org/observations/178671168,https://static.inaturalist.org/photos/310946618/medium.jpeg,jherime,178671168,Lesser Violetear,Aves,508367,1,0,2023-08-15 11:13:41,2023-08-15,2023-08-15 17:13:41 UTC,America/Costa_Rica,NA,NA,,,false,gps,gps,130062,Jherime L. Kellermann,2023-08-16 12:08:32 UTC,2023-08-16 17:38:58 UTC,research,,,2,false
Colibri thalassinus,2023-08-12 08:34:17 -0600,,"Ejército Nacional, San Cristóbal de las Casas, Chis., MX",16.7405383333,-92.6253383333,,Mexican Violetear,https://www.inaturalist.org/observations/178600457,https://inaturalist-open-data.s3.amazonaws.com/photos/310808879/medium.jpg,marisa_tirado,178600457,Colibrí orejas violetas,Aves,508366,1,0,2023-08-12 08:34:17-06:00,2023-08-12,2023-08-12 14:34:17 UTC,Mexico City,NA,NA,,open,false,,,510068,Marisa,2023-08-15 22:06:49 UTC,2023-08-15 22:11:35 UTC,research,CC-BY-NC,,3,false
Colibri thalassinus,2023-08-13 09:22:00 -0600,,"Hueypoxtla, Méx., México",20.018975,-99.0882666667,,Mexican Violetear,https://www.inaturalist.org/observations/178575773,https://static.inaturalist.org/photos/310762134/medium.jpeg,ivanresendizcruz,178575773,Colibrí orejas violetas,Aves,508366,1,0,2023/08/13 9:22 AM,2023-08-13,2023-08-13 15:22:00 UTC,Mexico City,NA,NA,,open,false,,,217813,Iván Reséndiz Cruz,2023-08-15 19:17:21 UTC,2023-08-26 21:44:48 UTC,research,CC-BY-NC,,NA,false
Colibri cyanotus,2006-09-15 17:05:00 -0600,,"Puntarenas Province, Monteverde, Costa Rica",10.2989417,-84.7681559,,Lesser Violetear,https://www.inaturalist.org/observations/178480235,https://static.inaturalist.org/photos/310582457/medium.jpeg,hfabian,178480235,Lesser Violetear,Aves,508367,2,0,2006/09/15 5:05 PM,2006-09-15,2006-09-15 23:05:00 UTC,America/Costa_Rica,210,210,,,false,,,3342,Henry Fabian,2023-08-15 04:11:49 UTC,2023-08-16 17:42:04 UTC,research,CC0,,NA,false
Colibri cyanotus,2006-09-15 17:04:00 -0600,,"Puntarenas Province, Monteverde, Costa Rica",10.2989417,-84.7681559,,Lesser Violetear,https://www.inaturalist.org/observations/178480157,https://static.inaturalist.org/photos/310582297/medium.jpg,hfabian,178480157,Lesser Violetear,Aves,508367,1,0,2006/09/15 5:04 PM,2006-09-15,2006-09-15 23:04:00 UTC,America/Costa_Rica,210,210,,,false,,,3342,Henry Fabian,2023-08-15 04:10:59 UTC,2023-08-15 04:24:26 UTC,research,CC0,,NA,false
Colibri cyanotus,2006-09-15 17:00:00 -0600,,"Puntarenas Province, Monteverde, Costa Rica",10.2989417,-84.7681559,,Lesser Violetear,https://www.inaturalist.org/observations/178480000,https://static.inaturalist.org/photos/310582034/medium.jpeg,hfabian,178480000,Lesser Violetear,Aves,508367,1,0,2006/09/15 5:00 PM,2006-09-15,2006-09-15 23:00:00 UTC,America/Costa_Rica,210,210,,,false,,,3342,Henry Fabian,2023-08-15 04:09:18 UTC,2023-08-15 16:26:09 UTC,research,CC0,,NA,false
Colibri cyanotus,2006-09-15 16:59:00 -0600,,"Puntarenas Province, Monteverde, Costa Rica",10.2989417,-84.7681559,,Lesser Violetear,https://www.inaturalist.org/observations/178479960,https://static.inaturalist.org/photos/310581925/medium.jpg,hfabian,178479960,Lesser Violetear,Aves,508367,1,0,2006/09/15 4:59 PM,2006-09-15,2006-09-15 22:59:00 UTC,America/Costa_Rica,210,210,,,false,,,3342,Henry Fabian,2023-08-15 04:08:35 UTC,2023-08-15 15:22:16 UTC,research,CC0,,NA,false
